x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328,x329,x330,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341,x342,x343,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354,x355,x356,x357,x358,x359,x360,x361,x362,x363,x364,x365,x366,x367,x368,x369,x370,x371,x372,x373,x374,x375,x376,x377,x378,x379,x380,x381,x382,x383,x384,x385,x386,x387,x388,x389,x390,x391,x392,x393,x394,x395,x396,x397,x398,x399,x400,x401,x402,x403,x404,x405,x406,x407,x408,x409,x410,x411,x412,x413,x414,x415,x416,x417,x418,x419,x420,x421,x422,x423,x424,x425,x426,x427,x428,x429,x430,x431,x432,x433,x434,x435,x436,x437,x438,x439,x440,x441,x442,x443,x444,x445,x446,x447,x448,x449,x450,x451,x452,x453,x454,x455,x456,x457,x458,x459,x460,x461,x462,x463,x464,x465,x466,x467,x468,x469,x470,x471,x472,x473,x474,x475,x476,x477,x478,x479,x480,x481,x482,x483,x484,x485,x486,x487,x488,x489,x490,x491,x492,x493,x494,x495,x496,x497,x498,x499
88,1,30,1,19,1507,6,2768,29,2820,28,7,22,91,6,124,7,18,55,43,12,9,112,2,408,120,17,49,30,1,19,2034,6,3638,7,22,1507,6,641,6,522,7,624,7,9,112,2,408,120,17,176,6,463,7,338,1,60,15,2034,23,85,1,112,2,408,120,17,176,6,429,7,57,1,143,1899,586,53,1,1207,15,188,87,1,865,63,2280,16,401,11,2315,31,1802,2882,25,6,143,3769,7,470,1,106,80,1,180,9,591,118,1,257,183,1,821,6,14,1,819,7,827,1,825,1899,586,1,86,548,673,2258,99,548,673,2133,107,1518,191,916,121,3407,3230,4168,361,408,2,17,57,63,2280,16,401,11,2315,31,1802,2882,57,168,19,18,31,25,804,3601,166,288,1127,166,912,166,1714,510,16,2315,2882,166,16,401,2719,166,1118,269,166,4823,2,3034,1102,510,16,371,2719,4096,2014,166,288,1127,166,129,166,4929,11,451,510,16,3461,799,166,288,4929,2,799,451,166,4560,510,16,166,288,1127,166,4033,2,129,2252,166,10,510,16,2315,2882,166,288,1127,166,4033,1728,2,129,3034,166,814,2,1737,510,16,41,155,142,12,32,285,27,1207,15,188,568,79,670,302,896,79,710,79,622,445,17,143,596,2,447,177,421,577,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,30,1,19,1980,6,3692,29,3543,28,7,22,91,6,124,7,18,55,43,12,9,81,2,349,120,17,49,30,1,19,2002,6,3653,7,22,1980,6,641,6,522,7,624,7,9,81,2,349,120,17,176,6,463,7,338,1,60,15,2002,23,85,1,81,2,349,120,17,176,6,429,7,57,1,40,143,557,404,2121,26,53,1,683,15,188,87,1,143,3104,1,21,5,470,1,106,80,1,180,9,591,118,1,257,183,1,821,6,14,1,819,7,827,1,825,21,5,744,557,177,143,41,132,898,666,235,390,25,1953,31,666,1731,86,330,572,1350,557,1,428,1331,375,1,2406,361,349,2,17,21,5,1067,528,31,102,40,4502,26,46,34,1004,3165,210,315,592,31,5,160,12,784,2328,35,202,35,5,2941,98,8,4577,1993,856,21,5,2902,11,146,800,2046,3,240,614,730,21,5,465,5,3280,870,385,481,806,1464,8,1786,146,1624,2954,35,298,2,132,383,125,738,21,13,11,4309,3,2167,2,61,520,3,3038,5,714,870,31,2,357,4527,56,154,874,157,2862,18,13,21,5,1443,2,134,90,932,8,231,246,21,11,686,18,5,1773,1867,11,811,3,361,349,2,17,2,602,1204,79,240,614,730,1067,528,31,102,40,4502,26,46,34,528,2290,13,102,40,4502,26,1441,249,1502,33,254,3321,5,169,31,704,21,5,1441,315,3,3187,354,1349,2,528,3492,162,301,1318,1434,498,2,4502,2,21,63,3184,8,13,315,44,259,1368,3189,8,3114,10,2827,1616,3,361,349,2,17,2,602,1204,79,240,614,730,1004,3165,210,315,3211,35,1502,162,807,11,3165,210,371,8,150,13,21,5,315,3,962,13,1485,2,1004,1157,8,162,498,497,2,134,965,210,1769,12,132,3254,2,10,1716,210,12,1636,132,298,2,485,33,1583,381,8,10,186,518,5,136,3,361,349,2,17,2,602,1204,79,240,614,730,592,31,5,160,12,784,98,27,1464,12,13,102,784,887,155,249,2,18,3175,311,2,13,12,395,2,10,457,389,12,2679,2357,10,195,3682,3,98,1912,1877,2071,27,1396,8,35,5,102,514,11,784,21,13,3918,8,186,1602,1502,58,162,3595,1582,21,3287,3279,3,361,349,2,17,2,602,1204,79,240,614,730,2328,35,202,35,5,2941,48,4834,132,1138,569,35,5,202,785,249,2,453,5
88,1,30,1,19,2155,6,759,29,2158,28,7,22,91,6,124,7,18,123,43,12,9,101,2,276,120,17,49,183,1,1961,132,1866,85,1,101,2,276,120,17,258,87,1,29,280,139,404,28,53,1,1164,15,188,57,1,280,139,404,778,1,883,1,2045,1,2188,1,2154,1,280,226,1,15,759,382,1,15,759,133,1,151,1,106,80,1,180,9,828,60,25,4,791,70,2125,1,1352,6,14,1,2525,7,9,129,1,24,2342,69,13,1,291,70,449,1,24,309,9,671,1,370,9,211,1,174,69,13,1,1334,70,449,1,24,9,671,1,370,9,211,1,174,69,13,1,1153,70,449,1,1618,9,247,1,334,69,13,1,253,70,129,1,1618,9,671,1,334,69,2095,70,923,1,24,2358,9,933,1,24,3303,450,227,9,942,1,24,2354,450,227,9,941,1,24,3303,450,227,9,931,1,24,2354,450,227,9,449,1,24,2342,9,951,1,981,1012,388,2,927,388,2,494,2,407,9,958,1,2004,9,957,1,174,69,2187,70,923,1,24,2354,9,2015,1,954,9,933,1,24,2358,478,227,9,942,1,24,524,478,227,9,941,1,24,2358,478,227,9,931,1,24,524,478,227,9,449,1,24,2342,9,951,1,981,1012,388,2,927,388,2,494,2,407,9,958,1,771,9,957,1,327,69,2193,70,214,1,1699,9,164,1,1056,2,1183,2,407,69,4,23,280,139,404,3130,1205,430,3281,1,4196,371,5,613,11,139,430,1432,10,467,2,156,48,480,1977,5,11,98,31,2890,785,249,3,2059,20,239,157,319,44,12,13,453,46,48,2203,8,1268,8,5,102,451,973,2,38,27,312,92,32,3,1205,345,11,280,31,428,401,139,430,891,184,25,36,76,78,221,8,290,2,117,33,224,78,1683,36,76,78,8,448,714,58,328,1525,3,2,13,11,1950,10,36,693,1054,5,3,2,2071,2,2,2,1670,2,2,2,3616,2,10,259,13,706,3,1532,2,44,82,78,246,1386,219,1670,574,207,912,2039,39,117,38,82,13,658,11,979,6,946,148,7,25,1891,8,5,658,385,2594,2,10,36,4166,205,1223,35,5,471,2869,38,3,693,286,1514,13,102,817,6,134,259,2865,157,1431,5,195,299,7,9,40,693,3102,26,27,443,11,13,367,3,94,20,48,78,484,105,4664
88,1,15,1010,1,201,37,349,17,88,1,30,1,19,6,29,28,7,22,6,7,18,55,43,12,9,201,2,349,37,17,111,30,1,19,6,29,28,7,22,6,7,18,123,43,12,9,201,2,349,37,17,176,338,1,57,1,1670,3544,170,4744,53,1,85,1,81,2,408,37,17,6,2119,7,1375,1,237,1,6,7,87,1,83,225,1417,92,12,5,3544,419,25,470,1,106,80,1,208,9,152,26,1201,26,118,1,257,1902,1,19,360,8,483,22,43,1435,1,740,2,2538,2,2,2,2,2,2,3892,3510,1,2555,3382,1,1211,6,7,1,483,1,3202,3550,25,918,1,1448,1,4463,1,4705,248,1,4,4,4,4,4,4,4,4,4,4,869,1211,631,4,4,4,4,4,4,4,4,4,4,4,248,1,75,273,27,983,838,3,41,1103,160,90,157,2810,248,1,154,20,65,3459,46,1581,1028,1513,273,21,306,3,248,1,570,14,1,3478,12,66,503,3,248,1,248,1,1944,1358,503,1,6,2761,2,121,532,7,248,1,6,3621,435,7,85,1,6,61,7,248,1,6,435,7,1116,1,412,917,127,248,1,6,435,7,1116,1,2850,27,2344,8,2202,6,2883,7,248,1,29,1,281,28,248,1,3892,6,435,7,1116,1,1338,13,497,23,536,248,1,6,1247,435,7,95,82,1120,22,13,6,107,7,248,1,6,3621,435,7,926,90,1375,2,117,163,1726,248,1,6,435,7,926,2106,167,395,2,117,27,78,248,1,248,1,4,4,4,4,4,4,4,4,4,4,2011,11,1211,631,4,4,4,4,4,4,4,4,4,4,39,135,3544,12,4744,3697,135,135,586,135,1040,20,12,92,12,5,3544,419,2,5,2260,544,11,5,3544,12,4744,2239,3,83,65,420,71,2164,544,35,71,843,58,14,1,3,94,20,187,167,8,4079,12,5,2239,2,165,440,71,4079,2,2,58,15,46,598,6,7,3,268,27,2470,58,816,2,1632,5,4553,1162,21,3,100,48,572,19,209,355,8,209,2921,1502,264,1958,2,209,355,8,281,2921,2680,2,182,355,8,281,2921,3869,2,10,305,8,331,2921,35,3,100,48,13,832,19,6,24,46,24,7,10,27,265,21,5,392,11,5,1636,3,100,3081,77,3544,8,582,8,5,12,1608,2,8,4079,12,654,4529,2,46,140,8,231,147,93
88,1,30,1,19,6,29,28,7,22,6,218,7,18,55,43,9,101,2,283,120,17,111,30,1,19,6,1,676,15,29,28,7,22,6,7,18,55,43,9,101,2,283,120,17,111,30,1,19,6,29,28,7,22,6,218,7,18,123,43,9,101,2,283,120,17,111,226,1,57,1,40,26,53,1,604,1,87,1,42,34,2635,34,97,34,34,42,42,34,2635,34,97,34,34,42,42,34,2635,34,97,34,34,42,85,1,101,2,283,120,17,111,338,1,60,16,16,15,23,151,1,106,80,1,208,9,152,26,2635,26,118,1,257,394,1,107,6,237,7,1375,1,237,183,1,98,395,2,1497,3644,6,7,732,1,237,1726,1,770,444,98,788,2137,1,15,16,6,97,153,16,97,16,135,15,16,4237,16,691,16,1055,16,566,16,873,16,135,16,829,16,590,16,209,25,24,153,6,97,153,16,97,9,2698,7,3329,52,6,52,295,52,331,52,691,52,26,52,829,52,295,52,3724,16,6,16,97,52,780,52,287,16,365,16,335,16,6,97,153,16,1,3221,25,40,16,2,16,822,16,39,16,1055,16,16,16,34,16,6,97,153,16,97,23,16,1128,15,69,16,250,25,26,16,16,13,25,40,16,499,15,3548,16,2,16,86,16,16,1055,16,566,16,873,16,16,16,39,16,590,16,209,25,24,153,6,97,153,16,97,16,42,16,499,16,34,16,13,16,2171,6,97,29,417,12,28,153,16,97,16,16,250,16,16,2,16,1055,16,365,16,566,16,34,16,499,16,6,97,153,16,95,16,121,16,9,16,873,16,16,16,34,16,15,16,39,16,590,16,250,16,34,25,24,153,6,97,153,16,97,52,860,52,780,52,9,52,209,52,15,52,64,52,295,16,16,798,16,250,16,873,25,40,16,121,16,590,16,281,16,590,16,1055,52,86,25,60,52,209,16,2,16,26,16,829,16,590,16,209,16,2,153,6,97,153,16,1,25,52,780,25,60,52,25,40,153,6,16,97,16,16,2171,6,97,153,16,16,499,15,3548,16,2,16,86,16,499,16,34,16,13,25,40,52,860,52,780,52,9,52,209,52,15,52,64,52,295,16,16,798,16,1055,16,566,16,34,16,3637,6,97,153,16,16,250,16,873,16,16,16,34,16
88,1,30,1,19,3206,6,29,28,7,22,91,6,124,7,18,55,43,12,9,101,2,276,120,17,49,30,1,19,2034,6,3638,7,22,3206,6,641,6,522,7,624,7,9,101,2,276,120,17,176,6,463,7,338,1,60,15,2034,23,85,1,101,2,276,120,17,176,6,429,7,57,1,1570,53,1,683,15,188,87,1,661,93,225,1564,71,2063,2629,29,28,470,1,106,80,1,180,9,591,118,1,257,183,1,821,6,14,1,819,7,827,1,825,375,1570,586,2,276,2,17,661,93,225,1564,71,2063,2629,764,4312,2,391,11,1502,2,361,349,2,1570,27,379,1703,35,2,2,10,2,1517,11,979,402,13,326,3,41,1570,1199,544,59,3468,8,47,1703,328,2680,661,48,93,948,38,34,461,48,899,3766,2,117,5,244,1014,108,27,1640,148,13,1739,76,66,175,140,1601,13,4485,77,299,21,456,8,2161,3,36,239,157,1360,979,13,326,12,276,516,184,2,10,36,653,47,8,20,119,36,438,78,8,379,66,175,13,476,3963,3,684,2,36,239,157,35,357,13,1187,33,36,56,78,157,862,8,1799,46,2161,51,290,156,51,36,653,167,3,75,102,2629,928,36,213,56,66,126,8,115,74,2,688,66,2,231,66,337,2,10,2840,102,994,46,3,506,44,263,1161,21,13,66,2558,10,943,1570,12,20,3,1189,126,185,928,36,59,47,862,8,233,35,899,1515,36,239,157,2,531,108,33,254,4506,58,5,4257,1484,1384,329,1989,3,384,105,33,973,2,830,77,5,503,48,383,3,170,184,2,5,102,2629,27,379,987,13,40,1045,2,26,134,928,44,254,1471,74,8,47,4,46,1824,61,3,100,213,545,44,264,5,454,11,5,1298,10,231,147,44,790,3,36,32,3468,389,11,1570,3,1371,5,2417,59,47,550,2,36,59,480,47,35,143,573,328,58,1204,6,46,7,10,1682,20,59,1470,148,223,3,1758,2,1024,3568,1878,504,1570,1387,92,12,66,168,1130,19,375,41,155,142,12,32,285,27,683,15,188,568,79,670,302,896,79,710,79,622,467,2992,79,592,79,1253,79,1772,79,2387,79,1065,79,3377,445,17,143,596,2,447,177,421,577,3,375,27,13,581,245,1531,11,143,596,2,1288,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,30,1,19,2155,6,759,29,2158,28,7,22,91,6,124,7,18,123,43,12,9,113,2,341,120,17,49,183,1,1961,132,1866,85,1,113,2,341,120,17,258,87,1,29,280,529,1137,28,2664,53,1,1164,15,188,57,1,280,529,1137,778,1,883,1,2045,1,2188,1,2154,1,280,226,1,15,759,382,1,15,759,133,1,151,1,106,80,1,180,9,828,60,25,4,791,70,2125,1,1352,6,14,1,2525,7,9,129,1,24,69,13,1,291,70,449,1,24,9,671,1,370,9,211,1,174,69,13,1,1334,70,449,1,24,309,9,671,1,370,9,211,1,174,69,13,1,1153,70,449,1,1618,9,247,1,334,69,13,1,253,70,129,1,1618,9,671,1,334,69,2095,70,923,1,24,9,933,1,24,450,227,9,942,1,24,450,227,9,941,1,24,450,227,9,931,1,24,450,227,9,449,1,24,524,9,951,1,981,1012,388,2,927,388,2,494,2,407,9,958,1,2004,9,957,1,174,69,2187,70,923,1,24,9,933,1,24,478,227,9,942,1,24,524,478,227,9,941,1,24,478,227,9,931,1,24,524,478,227,9,449,1,24,9,951,1,981,1012,388,2,927,388,2,494,2,407,9,958,1,771,9,957,1,327,9,2015,1,954,69,2193,70,214,1,1699,9,164,1,1056,2,1183,2,407,69,4,23,280,529,1137,3130,1944,2637,589,4662,1,1091,13,1121,32,2617,263,47,648,20,8,2210,34,1274,11,5,1794,2647,35,813,472,1911,6,278,593,93,598,7,59,47,1545,5,306,11,4100,10,147,20,65,44,8,559,5,255,20,76,186,10,5,255,20,4363,21,1152,3,1184,2492,10,51,149,748,11,4351,35,4100,2,202,10,195,572,905,812,33,48,1564,71,1263,3,94,33,31,61,743,2,4462,5,2617,33,216,136,311,2,2071,2,59,47,1545,207,4351,51,364,3,1093,12,2210,266,25,963,5,977,36,363,35,2,328,1364,108,36,509,18,5,3173,2,12,33,1121,2,36,424,547,8,362,593,3818,2,380,89,293,1977,875,10,8,66,2223,3,3038,1023,1073,21,1834,2,319,13,3336,11,2,36,634,8,47,1378,4,3561,260,630,105,5,504,1302,550,175,3,94,20,239,617,157,21,4023,2,5,301,367,35,5,562,59,4963,47,58,2,117,36,206,8,1592
57,15,113,37,276,17,88,1,130,1,745,15,320,30,1,19,45,6,131,29,72,28,7,22,188,6,96,7,18,55,43,12,9,113,2,276,37,17,49,6,84,7,30,1,19,131,29,72,28,22,45,18,190,6,137,7,12,745,15,45,6,138,7,9,113,2,276,37,17,49,6,84,7,30,1,19,6,29,28,7,22,91,6,124,7,18,123,43,12,9,113,2,276,37,17,49,57,1,64,15,91,53,1,4475,87,1,3654,2459,1860,85,1,112,2,341,37,17,176,151,1,106,80,1,208,9,152,26,236,26,118,1,483,778,1,133,1,1435,1,203,2,2853,2,2,2,1492,1,852,18,943,4193,10,5,2,2,10,1666,8,4638,33,321,5,301,2522,154,487,18,425,1782,2,5,40,3654,2459,2,3585,1070,26,6,2,16,7,27,1567,10,1860,8,2073,5,3302,1500,21,5,3742,514,11,5,3344,4281,2,10,781,1455,11,5,102,1755,4,63,1139,471,11,3344,1477,12,5,2562,1723,21,244,3344,812,2,51,364,51,4966,1455,11,3466,1755,3,324,156,400,105,5,301,2522,1,40,63,1926,3745,2787,35,68,36,56,157,2564,22,162,2,2,10,1666,8,40,4,4659,2,202,700,40,75,27,13,431,939,1,44,82,1904,22,13,949,61,141,8,5,3344,2,117,185,8,5,3344,10,2799,3,18,943,4193,2,44,51,63,1014,638,21,5,11,3344,21,5,315,3,26,4,2,2431,3344,3,53,456,32,737,46,12,66,127,2,231,1,14,1,34,46,598,46,109,556,15,3654,2459,2,3585,1070,444,2,728,1823,1,1983,2,16,468,16,1058,2176,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,39,94,20,206,8,13,285,8,38,544,2,221,8,14,1,10,114,1130,20,163,1037,310,8,197,3,170,2712,235,109,235,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,30,1,19,2145,6,29,28,7,22,91,6,124,7,18,55,43,12,9,113,2,341,120,17,49,30,1,19,45,6,29,72,28,7,22,2145,18,1219,6,1057,24,86,7,43,12,9,113,2,341,120,17,49,85,1,113,2,341,120,17,49,57,1,1195,15,2145,87,1,1906,2422,1469,361,341,53,1,1906,4922,519,1,110,1,133,1,650,31,2422,19,41,1093,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,39,53,314,19,38,991,347,1195,2,231,5,719,58,5,454,11,38,160,3,4,4,4,4,2156,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3121,1474,8,13,4158,1693,3183,3910,4184,25,1555,376,1892,2,186,2767,210,1745,2,3390,4011,4192,2466,11,5,4128,4151,1238,3,252,116,8,275,74,66,10,1669,1474,1,3978,3,170,328,102,1180,33,2657,1555,6,1323,7,337,720,5,4222,17,1270,2292,1886,2,1555,376,1892,59,960,99,1474,8,13,1270,2292,4161,1463,18,200,329,1569,1886,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,39,343,92,8,584,510,640,78,517,33,14,1,98,132,298,311,1139,592,4311,14,1,3873,831,14,1,288,343,2,2347,16,8,646,398,68,14,1,1373,775,10,2151,18,102,498,14,1,98,35,787,3293,2,20,14,1,388,8,3958,339,644,2522,95,11,430,21,128,31,33,2653,802,2720,987,520,68,14,1,1318,1616,12,4383,21,132,2311,34,14,1,528,4502,230,333,14,1,1004,35,4341,210,2469,203,848,14,1,1097,1065,269,3739,8,509,1501,5,14,1,99,41,1094,51,276,14,1,194,814,701,2830,341,12,5,34,14,1,136,1004,3375,21,109,4317,14,1,100,76,78,238,163,1704,1732,1208,1506,710,14,1,1464,12,510,12,13,95,14,1,191,27,221,6,2056,7,529,281,14,1,2025,63,95,14,1,3075,2405,245,47,4021,95,41,288,136,90,95,14,1,1092,25,2,31,2,448,25,14,1,848,592,21,5,272,32,512,116,3,1011,16,14,1,468,2322,398,1522,12,1800,8,1471,230,14,1,1445,4466,3924,551,22,1275,14,1,311,721,2347,92,2,14,1,351,4008,51
88,1,1034,15,718,1010,1,101,37,121,17,88,1,30,1,19,6,29,28,7,22,718,6,1842,16,1341,1,1690,16,7,18,55,43,12,9,101,2,121,37,17,258,6,599,7,30,1,19,6,29,28,7,22,6,96,7,18,123,43,12,9,101,2,121,37,17,176,6,429,7,1,1,1199,1393,57,1,40,26,53,1,87,1,1199,1393,85,1,101,2,121,37,17,176,338,1,60,16,16,15,23,151,1,106,80,1,208,9,152,26,236,26,118,1,257,183,1,98,1505,12,784,477,1490,1,1489,1,1499,1,160,732,1,174,4511,1,174,1726,1,770,444,98,788,2137,1460,1,22,1645,6,14,1,1615,7,918,1,1448,1115,1,1083,1,1086,1,191,19,39,21,32,1042,68,6,1260,7,1185,22,6,2848,1393,7,6,7,6,1062,7,14,1,1783,34,6,1260,7,332,22,6,2848,1393,7,6,7,6,1062,3271,7,14,1,1783,34,6,1260,7,3,22,3472,6,1393,7,6,7,6,1062,3271,7,14,1,1783,34,6,1260,7,22,3472,6,1393,7,6,7,6,1062,3271,7,14,1,1783,34,6,1260,7,31,22,1260,6,2848,1393,7,6,7,6,1062,3271,7,14,1,1783,34,6,1260,7,128,46,128,22,6,7,6,7,6,1062,1182,7,14,1,1783,34,6,1260,7,1213,24,86,22,6,1393,7,6,7,6,1062,860,7,14,1,1783,34,6,1260,7,22,6,2848,1393,7,6,7,6,1062,3271,7,14,1,1783,34,6,1260,7,41,11,1021,1502,22,6,4335,1393,7,6,7,6,1062,7,14,1,1783,34,6,1260,7,4975,1393,22,6,2848,1393,7,6,7,6,1062,7,14,1,1783,34,6,1260,7,22,22,6,2848,1393,7,6,7,6,1062,3271,7,14,1,1783,34,6,1260,7,1,22,10,6,4335,1393,7,6,7,6,1062,1182,7,14,1,1783,34,173,511,271,27,95,3,94,20,187,167,8,47,368,19,38,110,2,165,2355,230,5,425,267,10,3898,264,5,40,2896,32,511,26,291,35,32,40,89,3898,439,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
